City,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,WindSpeed
Sørland,100,NO,1584209297,91,67.67,12.69,3.69,24.02
Qaanaaq,0,GL,1584209297,60,77.48,-69.36,-28.41,2.15
Blacksburg,75,US,1584209298,30,37.23,-80.41,15.56,1.77
Codrington,61,AU,1584209298,74,-38.27,141.97,14.39,7.05
Chapais,90,CA,1584209298,78,49.78,-74.85,-10.0,6.7
Óbidos,75,BR,1584209298,49,-1.92,-55.52,34.79,1.64
Kapaa,1,US,1584209298,82,22.08,-159.32,19.0,3.6
Faya,100,SA,1584209298,82,18.39,42.45,16.0,3.1
Campoverde,75,PE,1584209298,58,-8.48,-74.81,29.0,3.1
Eureka,75,US,1584209036,70,40.8,-124.16,8.33,5.1
Bereda,19,ES,1584209298,76,43.27,-7.54,16.67,3.1
Narsaq,75,GL,1584209298,62,60.92,-46.05,-4.0,2.1
Berbera,74,SO,1584209165,83,10.44,45.01,25.59,5.31
Cape Town,40,ZA,1584209110,68,-33.93,18.42,21.67,6.7
Puerto Ayora,40,EC,1584209211,74,-0.74,-90.35,28.0,4.1
Longyearbyen,40,SJ,1584209298,54,78.22,15.64,-18.0,7.7
Pacifica,75,US,1584209299,81,37.61,-122.49,13.89,3.1
Ushuaia,40,AR,1584209207,58,-54.8,-68.3,12.0,5.1
Tabou,52,CI,1584209299,90,4.42,-7.35,26.99,1.94
Rikitea,65,PF,1584209299,78,-23.12,-134.97,25.29,6.29
Castro,2,BR,1584209299,31,-24.79,-50.01,28.99,1.78
Bredasdorp,13,ZA,1584209299,60,-34.53,20.04,21.0,5.1
Vaini,75,TO,1584209299,100,-21.2,-175.2,25.0,3.6
Puerto Ayacucho,100,VE,1584209299,71,5.66,-67.62,27.49,0.56
Porto-Novo,20,BJ,1584209013,79,6.5,2.6,30.0,3.6
Mataura,85,NZ,1584209299,83,-46.19,168.86,11.11,0.89
Barcelos,0,PT,1584209168,72,41.54,-8.62,21.67,5.7
Barrow,90,US,1584209299,85,71.29,-156.79,-6.0,13.9
Port-Gentil,40,GA,1584209299,79,-0.72,8.78,30.0,4.1
Yenagoa,17,NG,1584209299,54,4.92,6.26,30.69,2.52
Oulainen,13,FI,1584209299,73,64.27,24.8,-7.78,0.89
Dikson,73,RU,1584209300,98,73.51,80.55,-24.81,5.56
Ipu,85,BR,1584209300,83,-4.32,-40.71,28.69,0.57
Guerrero Negro,0,MX,1584209300,61,27.98,-114.06,18.49,3.27
Saint-Philippe,20,RE,1584209300,83,-21.36,55.77,26.0,7.2
Uzunovo,26,RU,1584209300,82,54.54,38.62,2.79,4.39
Tuktoyaktuk,75,CA,1584209300,79,69.45,-133.04,-5.0,14.4
Pirapora,7,BR,1584209300,71,-17.34,-44.94,27.19,2.55
Laas,75,IT,1584209300,64,46.62,10.7,6.0,4.6
Sudak,37,UA,1584209300,51,44.85,34.97,7.49,4.31
Ippy,100,CF,1584209301,25,6.27,21.22,28.29,0.75
Robertsport,82,LR,1584209301,82,6.75,-11.37,28.19,6.89
Souillac,40,MU,1584209301,83,-20.52,57.52,26.0,1.5
Lagoa,100,PT,1584209301,77,39.05,-27.98,15.69,4.7
Puerto Escondido,5,MX,1584209265,65,15.85,-97.07,28.0,4.1
Thurso,100,GB,1584209301,87,58.59,-3.53,7.0,7.2
Mehamn,98,NO,1584209301,80,71.04,27.85,-9.81,6.71
Hermanus,26,ZA,1584209301,85,-34.42,19.23,18.33,0.89
Cockburn Town,12,TC,1584209301,77,21.46,-71.14,24.79,8.74
Yumen,100,CN,1584209301,23,40.28,97.2,2.99,5.86
East London,20,ZA,1584209068,88,-33.02,27.91,21.0,3.1
Jacmel,20,HT,1584209301,40,18.23,-72.53,32.0,4.1
La Macarena,100,CO,1584209301,66,2.18,-73.78,28.09,1.4
Peru,90,US,1584209301,100,40.75,-86.07,3.33,1.5
Punta Arenas,75,CL,1584209194,67,-53.15,-70.92,15.0,12.3
Hithadhoo,21,MV,1584209302,61,-0.6,73.08,28.59,1.16
Ugoofaaru,4,MV,1584209302,75,5.67,73.0,28.89,4.64
Port Elizabeth,20,ZA,1584209162,88,-33.92,25.57,19.0,6.2
Tutóia,75,BR,1584209302,74,-2.76,-42.27,30.0,6.2
Bandarbeyla,9,SO,1584209302,81,9.49,50.81,25.99,6.57
Thompson,20,CA,1584209302,53,55.74,-97.86,-20.0,1.5
Fairbanks,90,US,1584209289,84,64.84,-147.72,-8.33,2.1
Walvis Bay,0,NA,1584209302,60,-22.96,14.51,24.0,8.2
Mahébourg,40,MU,1584209302,83,-20.41,57.7,26.0,1.5
Avarua,82,CK,1584209302,100,-21.21,-159.78,24.0,1.0
Saldanha,31,ZA,1584209302,82,-33.01,17.94,20.0,6.2
Buraidah,8,SA,1584209302,43,26.33,43.98,22.0,1.0
Shihezi,0,CN,1584209302,47,44.3,86.03,2.09,1.47
Kumul,87,CN,1584209303,31,42.8,93.45,2.59,1.3
Upernavik,100,GL,1584209234,93,72.79,-56.15,-22.31,2.05
Utevka,100,RU,1584209303,98,52.9,50.95,0.49,2.19
Altay,0,CN,1584209303,39,47.87,88.12,-7.51,3.1
Assiut,0,EG,1584209303,54,27.18,31.18,18.59,2.83
Huarmey,84,PE,1584209303,48,-10.07,-78.15,29.39,5.92
Atasū,0,KZ,1584209303,79,48.68,71.64,-0.61,2.84
Jalu,2,LY,1584209303,30,29.03,21.55,20.19,2.15
Busselton,83,AU,1584209043,98,-33.65,115.33,19.44,5.93
Kolhāpur,0,IN,1584209303,40,16.7,74.22,20.39,0.39
Teya,100,RU,1584209303,88,60.38,92.63,-2.11,6.17
Aksarka,100,RU,1584209303,90,66.56,67.8,-14.31,8.49
Prince Rupert,1,CA,1584208787,46,54.32,-130.32,-2.0,3.1
Iskateley,100,RU,1584209304,87,67.68,53.15,-13.91,3.24
Atuona,2,PF,1584209304,73,-9.8,-139.03,27.59,5.01
Rosetta,0,EG,1584209304,78,31.4,30.42,16.69,3.17
Rudnya,91,RU,1584209304,66,54.95,31.09,-4.11,4.19
Kapoeta,91,SS,1584209304,56,4.77,33.59,28.29,2.98
Port Alfred,25,ZA,1584209304,89,-33.59,26.89,20.0,1.34
Valdivia,0,CL,1584209254,45,-39.81,-73.25,20.0,5.7
Natal,40,BR,1584209304,70,-5.79,-35.21,30.0,3.6
Hambantota,0,LK,1584209304,76,6.12,81.12,26.59,7.37
High Prairie,4,CA,1584209127,87,55.43,-116.49,-19.71,0.18
Iqaluit,5,CA,1584209304,61,63.75,-68.51,-27.78,7.7
Saint Paul Harbor,1,US,1584209305,78,57.79,-152.41,-8.0,3.1
Arlit,0,NE,1584209305,9,18.74,7.39,26.69,4.25
Bengkulu,100,ID,1584209305,90,-3.8,102.27,23.99,1.7
Provideniya,100,RU,1584209305,58,64.38,-173.3,-8.01,3.45
Mayo,1,US,1584209305,20,38.89,-76.51,14.44,2.6
Nongstoin,100,IN,1584209305,68,25.52,91.27,13.59,0.64
Voyvozh,98,RU,1584209305,88,62.89,54.96,-4.11,4.63
Zelenets,75,RU,1584209305,74,61.88,50.75,-2.0,3.0
Arraial do Cabo,20,BR,1584209305,70,-22.97,-42.03,30.0,5.7
Khatanga,84,RU,1584209305,96,71.97,102.5,-2.51,7.13
Moerai,41,PF,1584209305,71,-22.43,-151.33,26.29,2.15
Cidreira,0,BR,1584209305,79,-30.18,-50.21,24.69,5.65
Jamestown,1,US,1584209055,64,42.1,-79.24,5.0,4.1
Yellowknife,90,CA,1584209288,64,62.46,-114.35,-17.78,5.7
Bathsheba,75,BB,1584209306,62,13.22,-59.52,29.0,7.2
Kailua,75,US,1584209298,69,21.4,-157.74,23.0,3.6
Kudahuvadhoo,76,MV,1584209306,66,2.67,72.89,29.19,2.85
São Fidélis,20,BR,1584209306,62,-21.65,-41.75,30.0,10.3
Dingle,68,PH,1584209306,82,11.0,122.67,22.69,2.35
Mar del Plata,100,AR,1584209121,53,-38.0,-57.56,22.22,4.1
Wukari,100,NG,1584209306,8,7.85,9.78,30.69,1.71
Senanga,98,ZM,1584209306,72,-16.12,23.27,24.09,0.74
La Ronge,75,CA,1584209306,64,55.1,-105.28,-20.0,1.0
Lüderitz,0,NA,1584209306,68,-26.65,15.16,22.0,9.3
Maniitsoq,86,GL,1584209306,84,65.42,-52.9,-14.81,7.18
Chanika,88,TZ,1584209306,96,-5.42,38.02,22.19,1.83
Albany,75,US,1584209175,42,42.6,-73.97,8.33,7.7
Juba,100,SS,1584209306,61,4.85,31.58,28.19,1.18
Koyima,0,SL,1584209307,23,8.7,-11.03,34.59,1.97
Houma,1,US,1584209209,65,29.6,-90.72,28.89,5.7
Rocha,35,UY,1584209307,44,-34.48,-54.33,31.99,5.6
Fort Nelson,20,CA,1584209307,58,58.81,-122.7,-19.0,2.6
Vadamadurai,11,IN,1584209307,73,10.47,78.08,24.59,2.62
Aranos,0,NA,1584209307,21,-24.13,19.12,27.49,0.88
Muros,25,ES,1584209307,67,42.78,-9.06,18.89,3.6
Baykit,100,RU,1584209307,91,61.67,96.37,-5.71,2.35
Mossamedes,85,AO,1584209307,75,-15.2,12.15,24.69,3.43
Makkah al Mukarramah,0,SA,1584209307,47,21.43,39.83,20.19,3.94
Ploemeur,90,FR,1584209308,71,47.73,-3.43,11.11,4.6
Torbay,40,CA,1584209114,86,47.67,-52.73,5.56,11.3
Santarém,40,BR,1584209308,70,-2.44,-54.71,30.0,2.6
Ilulissat,90,GL,1584209308,77,69.22,-51.1,-16.0,5.1
Cabedelo,20,BR,1584209308,66,-6.98,-34.83,30.0,5.7
Gumrak,75,RU,1584209308,75,48.78,44.38,5.0,7.0
Hamilton,90,US,1584209308,86,39.18,-84.53,5.56,2.65
Gobabis,71,NA,1584209308,30,-22.45,18.97,28.0,3.6
Faanui,11,PF,1584209308,78,-16.48,-151.75,28.19,7.36
