City,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,WindSpeed
Bethel,1,US,1584160395,28,41.37,-73.41,11.0,5.7
Fort Nelson,20,CA,1584160395,58,58.81,-122.7,-19.0,1.5
Palmer,1,US,1584160395,48,42.16,-72.33,7.0,4.6
Half Moon Bay,90,US,1584160285,87,37.46,-122.43,13.0,3.6
Thompson,40,CA,1584160354,53,55.74,-97.86,-20.0,2.6
Yakima,90,US,1584160254,69,46.47,-120.67,3.0,2.6
Yellowknife,5,CA,1584160236,75,62.46,-114.35,-27.78,3.1
Sitka,75,US,1584160395,47,57.05,-135.33,2.0,7.7
Kahului,90,US,1584160395,78,20.89,-156.47,23.0,2.6
Tecolutla,0,MX,1584160395,87,20.48,-97.02,23.21,5.67
Fredericksburg,1,US,1584160200,33,38.3,-77.46,15.0,3.15
Sioux Lookout,75,CA,1584160281,72,50.1,-91.92,-12.0,3.6
Fortuna,90,US,1584160396,93,40.6,-124.16,8.89,5.1
Killam,100,CA,1584160396,98,52.78,-111.85,-19.96,2.36
San Quintín,7,MX,1584160111,82,30.48,-115.95,15.61,1.8
Naica,100,MX,1584160396,44,27.85,-105.48,18.97,5.2
Dzilam González,0,MX,1584160396,78,21.28,-88.93,24.02,7.94
Marshall,90,US,1584160201,66,34.38,-86.33,13.89,1.5
West Wendover,1,US,1584160396,70,40.74,-114.07,6.0,2.6
Saint Paul Harbor,1,US,1584160396,68,57.79,-152.41,-1.0,2.1
Homer,1,US,1584160396,66,59.64,-151.55,0.0,2.1
Laurens,75,US,1584160396,100,32.45,-82.92,21.0,2.29
Fairbanks,1,US,1584160396,71,64.84,-147.72,-5.56,0.93
Grants,90,US,1584160396,69,35.15,-107.85,4.0,3.6
Edinburgh,40,GB,1584160156,80,55.95,-3.2,5.0,3.1
Redlands,90,US,1584160347,82,34.06,-117.18,16.0,0.47
Province of Mantua,100,IT,1584160397,58,45.17,10.78,12.0,5.1
Flagstaff,90,US,1584160201,100,35.2,-111.65,7.78,4.1
Haines Junction,74,CA,1584160397,62,60.75,-137.51,-14.32,0.25
Kailua,90,US,1584160394,78,21.4,-157.74,24.0,2.1
La Ronge,20,CA,1584160397,58,55.1,-105.28,-20.0,3.1
Cockburn Town,27,TC,1584160396,79,21.46,-71.14,24.81,9.11
Lompoc,90,US,1584160397,76,34.64,-120.46,13.33,3.1
