City,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,WindSpeed
Rikitea,96,PF,1584197314,73,-23.12,-134.97,25.35,5.08
San Juan,70,AR,1584197113,29,-31.54,-68.54,24.15,10.77
Bahía Blanca,0,AR,1584197315,25,-38.72,-62.27,21.65,4.88
Thompson,20,CA,1584197102,75,55.74,-97.86,-28.0,1.42
Hilo,20,US,1584197315,73,19.73,-155.09,22.0,1.64
Saint Paul Harbor,1,US,1584197315,78,57.79,-152.41,-8.0,2.6
Punta Arenas,75,CL,1584197315,81,-53.15,-70.92,11.0,4.1
Atlantic City,1,US,1584197291,34,39.36,-74.42,10.56,5.7
Constitución,89,CL,1584197315,37,-35.33,-72.42,19.75,4.57
Ushuaia,75,AR,1584197315,76,-54.8,-68.3,11.0,3.6
São Paulo de Olivença,100,BR,1584197315,61,-3.38,-68.87,32.25,0.72
Puerto Madryn,0,AR,1584197250,25,-42.77,-65.04,20.55,8.88
Kailua,90,US,1584197064,73,21.4,-157.74,23.0,5.24
Chapais,90,CA,1584197315,85,49.78,-74.85,-11.0,8.7
Coquimbo,75,CL,1584197315,82,-29.95,-71.34,18.0,1.0
Osoyoos,90,CA,1584197315,38,49.03,-119.45,-4.0,9.8
Puerto Ayora,40,EC,1584197315,83,-0.74,-90.35,27.78,2.6
Logan Lake,40,CA,1584197315,43,50.5,-120.8,-9.0,9.3
Mataura,69,NZ,1584197316,83,-46.19,168.86,11.67,0.89
Corpus Christi,90,US,1584197276,88,27.8,-97.4,24.0,5.1
Port Hardy,5,CA,1584197102,42,50.7,-127.42,-1.0,8.2
Yellowknife,75,CA,1584197107,69,62.46,-114.35,-23.89,4.6
Barrow,90,US,1584197316,86,71.29,-156.79,-3.0,11.3
Saint George,90,US,1584197193,93,37.1,-113.58,9.44,3.6
Venado Tuerto,27,AR,1584197316,38,-33.75,-61.97,26.35,7.57
Redwater,90,US,1584197316,93,33.36,-94.25,11.67,2.1
Anchorage,1,US,1584197184,77,61.22,-149.9,-10.56,1.5
Lincoln,90,US,1584197248,86,40.8,-96.67,2.0,5.7
San Patricio,5,MX,1584197316,78,19.22,-104.7,25.0,2.79
Mayo,1,US,1584197316,31,38.89,-76.51,11.11,3.6
Castro,5,BR,1584197316,32,-24.79,-50.01,27.65,1.35
Tefé,100,BR,1584197316,88,-3.35,-64.71,28.0,1.5
Atuona,4,PF,1584197317,69,-9.8,-139.03,27.55,5.12
Pacific Grove,90,US,1584197317,81,36.62,-121.92,11.67,4.36
Villamaría,75,CO,1584197299,93,5.04,-75.51,17.0,1.0
Pisco,40,PE,1584197317,30,-13.7,-76.22,25.0,2.6
Sitka,1,US,1584197317,79,57.05,-135.33,-2.0,3.6
San Andrés,20,CO,1584197317,70,12.58,-81.7,29.0,5.1
Avarua,100,CK,1584197314,100,-21.21,-159.78,23.0,1.0
Fort Nelson,20,CA,1584197317,76,58.81,-122.7,-23.0,2.6
Hualmay,54,PE,1584197317,59,-11.1,-77.61,26.35,3.5
Huarmey,96,PE,1584197317,54,-10.07,-78.15,26.55,2.39
Cabo San Lucas,40,MX,1584197112,88,22.89,-109.91,20.0,5.1
Qaanaaq,0,GL,1584197317,61,77.48,-69.36,-28.75,2.84
Hailey,90,US,1584197317,100,43.52,-114.32,1.0,2.1
Thunder Bay,40,CA,1584197146,72,48.4,-89.32,-7.78,2.6
Kapaa,1,US,1584197317,88,22.08,-159.32,19.0,4.1
Caldwell,90,US,1584197317,93,43.66,-116.69,6.0,2.43
Hanna,100,CA,1584197318,83,51.63,-111.9,-18.33,6.71
Lompoc,90,US,1584197318,87,34.64,-120.46,12.22,4.35
Orocué,64,CO,1584197318,47,4.79,-71.34,32.55,3.43
North Augusta,90,US,1584197318,52,33.5,-81.97,22.0,3.1
San Quintín,0,MX,1584197164,80,30.48,-115.95,14.75,1.65
San Felipe,61,VE,1584197318,55,10.34,-68.74,29.05,2.8
Gimli,97,CA,1584197318,92,50.63,-96.99,-17.78,2.24
Whitehorse,5,CA,1584197033,83,60.72,-135.05,-21.67,1.0
Codajás,68,BR,1584197318,77,-3.84,-62.06,31.15,0.75
Jamestown,75,US,1584197093,80,42.1,-79.24,2.78,3.6
Narsaq,75,GL,1584197318,67,60.92,-46.05,-5.0,1.5
Santa Rosa,20,PH,1584197318,74,14.31,121.11,28.33,2.1
Redmond,90,US,1584197053,74,47.67,-122.12,2.78,2.1
Lebu,0,CL,1584197319,32,-37.62,-73.65,18.85,4.74
Kenora,75,CA,1584197319,84,49.82,-94.43,-17.0,2.08
Merritt,84,CA,1584197102,33,50.11,-120.79,-9.0,2.95
Río Gallegos,88,AR,1584197255,33,-51.62,-69.22,17.0,7.2
Tuktoyaktuk,90,CA,1584197319,79,69.45,-133.04,-6.0,10.8
Flin Flon,75,CA,1584197062,82,54.77,-101.86,-28.0,1.5
Half Moon Bay,90,US,1584197319,87,37.46,-122.43,12.0,6.7
Pacifica,90,US,1584197221,87,37.61,-122.49,12.0,6.7
Fortuna,90,US,1584197319,100,40.6,-124.16,6.0,3.1
Iqaluit,5,CA,1584197319,60,63.75,-68.51,-31.67,6.7
Paraná,100,AR,1584197224,25,-31.73,-60.52,39.05,2.83
São Gabriel da Cachoeira,75,BR,1584197319,94,-0.13,-67.09,27.0,1.5
Davenport,90,US,1584197231,91,41.52,-90.58,2.22,5.1
Coronado,90,US,1584197319,93,32.69,-117.18,16.11,1.74
Hamilton,90,US,1584197050,61,39.18,-84.53,6.67,3.6
Sioux Lookout,75,CA,1584197320,77,50.1,-91.92,-14.0,2.6
Saucillo,100,MX,1584197320,45,28.02,-105.28,18.35,2.04
Guerrero Negro,0,MX,1584197320,79,27.98,-114.06,15.55,2.21
Guayaramerín,40,BO,1584197320,74,-10.84,-65.36,30.0,1.0
Ascension,90,US,1584197093,88,30.22,-90.9,22.22,4.1
Clyde River,5,CA,1584197320,68,70.47,-68.59,-29.0,3.1
College,1,US,1584197320,84,64.86,-147.8,-10.56,1.35
Norman Wells,75,CA,1584197320,84,65.28,-126.83,-18.0,1.5
Durango,100,MX,1584197320,40,24.83,-104.83,14.95,1.03
Dzilam González,0,MX,1584197320,79,21.28,-88.93,24.55,5.63
Uribia,32,CO,1584197320,46,11.71,-72.27,30.75,4.52
Todos Santos,40,MX,1584197164,88,23.45,-110.22,20.56,5.1
Eirunepé,100,BR,1584197320,60,-6.66,-69.87,31.75,0.24
Cockburn Town,0,TC,1584197320,74,21.46,-71.14,25.05,7.97
Requena,60,ES,1584197320,56,39.49,-1.1,20.56,3.1
Dickinson,90,US,1584197315,94,29.46,-95.05,23.89,2.1
Bethel,20,US,1584197244,45,41.37,-73.41,8.89,8.2
Avera,90,US,1584197321,52,33.19,-82.53,23.0,3.1
Old Town,75,US,1584197321,41,44.93,-68.65,6.11,6.7
Los Lunas,1,US,1584197321,86,34.81,-106.73,6.67,1.5
Baní,40,DO,1584197321,69,18.28,-70.33,28.0,4.1
Cerritos,90,US,1584197321,87,33.86,-118.06,14.44,1.5
Nantucket,1,US,1584197100,52,41.28,-70.1,8.33,8.2
Valparaíso,30,CL,1584197321,77,-33.04,-71.63,18.0,2.1
Powell River,20,CA,1584197321,33,49.85,-124.54,-1.0,1.0
Esmeraldas,75,BR,1584197321,58,-19.76,-44.31,28.0,3.6
Cauquenes,100,CL,1584197321,17,-35.97,-72.32,22.05,3.06
Chapleau,20,CA,1584197321,67,47.84,-83.4,-8.0,4.6
La Palma,90,US,1584197321,87,33.85,-118.05,14.44,1.5
High Level,40,CA,1584197321,74,58.52,-117.14,-33.0,1.77
Acapulco de Juárez,40,MX,1584197115,78,16.86,-99.89,26.0,1.5
San Jose,90,US,1584197306,87,37.34,-121.89,12.0,6.7
Manitouwadge,40,CA,1584197322,78,49.12,-85.84,-10.0,4.1
Cedar Lake,90,US,1584197320,59,41.36,-87.44,3.33,2.6
Ancud,0,CL,1584197322,71,-41.87,-73.82,14.0,1.5
Castle Rock,1,US,1584197322,92,39.37,-104.86,1.67,2.6
Faanui,21,PF,1584197322,79,-16.48,-151.75,28.15,6.67
Edson,90,CA,1584197107,76,53.58,-116.44,-23.0,1.5
Rathdrum,90,US,1584197322,85,47.81,-116.89,-8.0,12.3
Lavaca,75,US,1584197195,88,28.61,-96.63,24.44,6.7
